Category,State/UT/City,Rural Area(Near School/College/Educational Institution) - Male,Rural Area(Near School/College/Educational Institution) - Female,Rural Area(Near School/College/Educational Institution) - Transgender,Rural Area(Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/ Educational Institution) - Male,Urban Area (Near School/College/ Educational Institution) - Female,Urban Area (Near School/College/ Educational Institution) - Transgender,Urban Area (Near School/College/ Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/ Cinema Hall) - Male,Urban Area (Near Recreation Place/ Cinema Hall) - Female,Urban Area (Near Recreation Place/ Cinema Hall) - Transgender,Urban Area (Near Recreation Place/ Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
State,Andhra Pradesh,207,47,0,254,1338,238,0,1576,222,46,0,268,231,37,0,268,232,44,0,276,3318,429,0,3747,5548,841,0,6389,144,20,0,164,460,107,0,567,71,19,0,90,86,24,0,110,100,8,0,108,102,29,0,131,498,129,0,627,1461,336,0,1797,7009,1177,0,8186
State,Arunachal Pradesh,6,1,0,7,21,0,0,21,1,0,0,1,0,0,0,0,0,0,0,0,71,9,0,80,99,10,0,109,10,3,0,13,11,2,0,13,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,28,5,0,33,54,10,0,64,153,20,0,173
State,Assam,285,39,0,324,733,122,0,855,134,15,0,149,37,3,0,40,77,13,0,90,29,3,0,32,1295,195,0,1490,223,39,0,262,553,85,0,638,112,24,0,136,134,13,0,147,189,33,0,222,77,23,0,100,17,2,0,19,1305,219,0,1524,2600,414,0,3014
State,Bihar,115,23,0,138,233,48,0,281,231,33,0,264,70,13,0,83,54,4,0,58,553,99,0,652,1256,220,0,1476,286,75,0,361,849,127,0,976,237,80,0,317,362,63,0,425,124,26,0,150,2007,790,0,2797,1016,142,0,1158,4881,1303,0,6184,6137,1523,0,7660
State,Chhattisgarh,143,24,0,167,1049,152,0,1201,48,10,0,58,11,3,0,14,50,9,0,59,2101,251,0,2352,3402,449,0,3851,70,10,0,80,457,47,0,504,25,2,0,27,13,0,0,13,49,7,0,56,83,25,0,108,674,100,0,774,1371,191,0,1562,4773,640,0,5413
State,Goa,8,3,0,11,89,14,0,103,8,2,0,10,4,0,0,4,10,0,0,10,38,4,0,42,157,23,0,180,0,1,0,1,19,6,0,25,5,1,0,6,2,0,0,2,6,1,0,7,0,0,0,0,4,1,0,5,36,10,0,46,193,33,0,226
State,Gujarat,202,39,0,241,1445,177,0,1622,187,41,0,228,88,31,0,119,257,31,0,288,2684,373,0,3057,4863,692,0,5555,152,30,0,182,544,93,0,637,52,8,0,60,26,2,0,28,243,34,0,277,198,54,0,252,404,62,0,466,1619,283,0,1902,6482,975,0,7457
State,Haryana,123,18,0,141,437,46,0,483,54,12,0,66,45,5,0,50,127,19,0,146,1449,121,0,1570,2235,221,0,2456,99,16,0,115,358,39,0,397,42,8,0,50,47,4,0,51,144,18,0,162,297,35,0,332,1302,117,1,1420,2289,237,1,2527,4524,458,1,4983
State,Himachal Pradesh,25,6,0,31,498,80,0,578,19,6,0,25,20,3,0,23,51,12,0,63,26,2,0,28,639,109,0,748,31,3,0,34,156,24,0,180,12,1,0,13,24,9,0,33,12,1,0,13,5,1,0,6,4,1,0,5,244,40,0,284,883,149,0,1032
State,Jharkhand,291,30,0,321,731,82,0,813,225,23,0,248,241,38,0,279,254,35,0,289,97,1,0,98,1839,209,0,2048,205,37,0,242,461,47,0,508,119,21,0,140,211,33,0,244,206,21,0,227,78,17,0,95,8,1,0,9,1288,177,0,1465,3127,386,0,3513
