States/UTs,06-900hrs - Day,09-1200hrs - Day,12-1500hrs - Day,15-1800hrs - Day,18-2100hrs - Night,21-2400hrs - Night,00-300hrs - Night,03-600hrs - Night,Unknown Time,Total Accidents
Andhra Pradesh,2337,3324,3416,4125,4522,1925,775,1126,6,21556
Arunachal Pradesh,23,48,46,36,43,31,22,20,14,283
Assam,881,1350,1145,1412,1145,423,455,472,128,7411
Bihar,1413,1525,1363,1508,1497,648,242,658,699,9553
Chhattisgarh,837,1853,1940,2732,3110,1219,375,309,0,12375
Goa,229,393,467,502,582,394,155,124,3,2849
Gujarat,1630,2314,2419,2624,3200,1613,752,617,17,15186
Haryana,1053,1168,1184,1511,1928,1014,638,637,800,9933
Himachal Pradesh,217,350,362,432,557,280,127,79,0,2404
Jharkhand,616,764,702,808,682,360,277,307,212,4728
Karnataka,3556,5055,5370,6097,7260,3907,1601,1528,273,34647
Kerala,3829,6193,5417,6464,7350,2461,673,855,54,33296
Madhya Pradesh,3825,6950,8197,9218,10332,5621,2497,1857,380,48877
Maharashtra,3093,4086,4454,4815,5670,3653,1792,1590,324,29477
Manipur,45,48,52,77,80,35,16,11,2,366
Meghalaya,23,36,40,64,36,26,9,11,0,245
Mizoram,11,12,10,13,9,7,6,1,0,69
Nagaland,66,73,38,68,245,130,72,54,0,746
Orissa,1167,1642,1801,1938,2107,999,491,635,203,10983
Punjab,623,679,698,879,1185,800,414,411,182,5871
Rajasthan,2130,2967,3507,4121,4238,2141,963,843,41,20951
Sikkim,0,13,18,34,46,30,0,14,0,155
Tamil Nadu,6246,8358,8437,10385,14416,4455,1125,2260,0,55682
Telangana,2120,3115,3452,4028,4587,2116,935,936,26,21315
Tripura,56,86,86,105,91,39,4,12,0,479
Uttarakhand,119,193,179,225,271,164,60,60,134,1405
Uttar Pradesh,4713,5143,4811,5371,5986,4056,3002,3299,1348,37729
West Bengal,1221,1866,1648,1832,1908,1289,1440,733,0,11937
Andaman and Nicobar Islands,6,11,19,31,24,18,3,3,0,115
Chandigarh,16,28,18,31,42,44,22,7,0,208
Dadra and Nagar Haveli,15,9,21,25,36,26,3,5,0,140
Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Delhi,573,578,467,499,733,717,574,473,106,4720
Jammu and Kashmir,512,972,1159,1259,1041,302,96,105,6,5452
Ladakh,34,44,50,46,28,17,17,0,0,236
Lakshadweep,0,2,0,1,0,1,0,0,0,4
Puducherry,135,139,146,151,192,131,49,68,38,1049
Total,43370,61387,63139,73467,85179,41092,19682,20120,4996,412432
